Iteration,RMS_px,Parameters
78,8.354966904859175,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9053288973 -47.7144123583  36.7965277114  48.2863076216
 -42.3901680606]"
79,8.337413429472413,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9053211628 -47.7144216261  36.7965213419  48.2863046816
 -42.3901632151]"
80,8.317176327163471,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9053116936 -47.7144329328  36.7965135663  48.2863010119
 -42.3901573801]"
81,8.293384984264076,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9052900853 -47.7144587617  36.7964958352  48.2862926483
 -42.3901440471]"
82,8.273565956746848,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9052888953 -47.7144601485  36.7964948696  48.2862920712
 -42.3901434491]"
83,8.261086501927632,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.905289107  -47.7144598865  36.7964950573  48.286292062
 -42.3901436791]"
84,8.246710539919363,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9052861628 -47.7144634375  36.7964926543  48.2862908052
 -42.3901419657]"
85,8.228985905259595,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9052756622 -47.7144761089  36.7964840542  48.2862865631
 -42.3901356063]"
86,8.211539000754557,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9052683024 -47.7144850017  36.7964780229  48.286283659
 -42.3901310728]"
87,8.198337330370531,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9052599606 -47.7144950962  36.7964711867  48.28628042
 -42.3901258753]"
88,8.189776315724439,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9052545545 -47.7145017002  36.7964667862  48.2862782875
 -42.3901225186]"
89,8.181088132441428,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9052502985 -47.7145069737  36.7964633506  48.2862765824
 -42.3901198759]"
90,8.17273591903338,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9052488473 -47.7145088444  36.7964622065  48.2862759832
 -42.3901189682]"
91,8.141572568165948,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9052393046 -47.7145210312  36.7964546257  48.2862721129
 -42.3901129711]"
92,8.132169030633422,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.905233807  -47.7145279414  36.7964502118  48.2862699557
 -42.3901094824]"
93,8.120980169182053,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9052307855 -47.7145318352  36.7964478237  48.2862687488
 -42.3901075568]"
94,8.10833602149084,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9052259735 -47.7145379674  36.7964440057  48.2862668432
 -42.3901045019]"
95,8.093701745103004,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9052201862 -47.7145453624  36.7964394356  48.2862645615
 -42.3901008173]"
96,8.070480873596836,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9052116379 -47.7145563787  36.7964327456  48.2862611695
 -42.3900953754]"
97,8.051574031661936,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.905196091  -47.7145762933  36.7964205495  48.286254982
 -42.3900855419]"
98,8.02790601647217,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051933391 -47.7145798832  36.7964184468  48.2862538535
 -42.3900838254]"
99,8.017961197864462,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051943955 -47.7145785748  36.7964193259  48.2862542354
 -42.3900845322]"
100,8.00835976373372,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051934458 -47.7145798287  36.7964186459  48.2862537929
 -42.3900840074]"
101,8.001354706926753,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051865812 -47.7145886016  36.7964133202  48.2862509459
 -42.3900798218]"
102,7.991041156769014,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051845811 -47.7145911209  36.7964117508  48.2862501238
 -42.3900786055]"
103,7.984509359257041,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051809331 -47.7145957028  36.7964088776  48.2862486298
 -42.3900763831]"
104,7.979891346978025,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051776419 -47.7145998291  36.7964062932  48.2862472665
 -42.3900744002]"
105,7.96933134079591,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051708766 -47.7146082759  36.796400993   48.2862444246
 -42.3900703863]"
